text,intent
garbage has not been collected from saket for 4 days,CIVIC_GRIEVANCE
submit it,CONFIRMATION
hamare area karol bagh me paani nahi aa raha hai,CIVIC_GRIEVANCE
how is it going,CASUAL_CONVERSATION
water has not come for 5 days in railway station road,CIVIC_GRIEVANCE
রাস্তার আলো কাজ করছে না,CIVIC_GRIEVANCE
can you book a hotel,OUT_OF_SCOPE
all good,CASUAL_CONVERSATION
testing 123,OUT_OF_SCOPE
wrong department,CORRECTION
stop,DENIAL
nevermind,DENIAL
how can you help,CAPABILITIES
garbage has not been collected from vasant kunj for 5 days,CIVIC_GRIEVANCE
that's not the category,CORRECTION
thank you,THANKS
live electrical wire dangling dangerously near sector 17,CIVIC_GRIEVANCE
power has been out in civil lines for 5 hours,CIVIC_GRIEVANCE
there is a water problem,NEEDS_CLARIFICATION
there is no water supply in karol bagh,CIVIC_GRIEVANCE
tell me about yourself,CAPABILITIES
hellooo,GREETING
good morning bot,GREETING
मेरे इलाके में बिजली नहीं आ रही है,CIVIC_GRIEVANCE
no don't,DENIAL
water pipeline is leaking near saket,CIVIC_GRIEVANCE
bilkul,CONFIRMATION
footpath tiles are broken near sector 17,CIVIC_GRIEVANCE
not correct,DENIAL
ha,CONFIRMATION
রাস্তার আলো কাজ করছে না,CIVIC_GRIEVANCE
huge pile of uncollected trash dumped near saket,CIVIC_GRIEVANCE
रस्त्यावरील दिवा चालू नाही,CIVIC_GRIEVANCE
ஹலோ,GREETING
hello sir there is a water pipe leaking on the road in karol bagh,CIVIC_GRIEVANCE
रस्त्यावरील दिवा चालू नाही,CIVIC_GRIEVANCE
electric problem,NEEDS_CLARIFICATION
street light band hai vasant kunj me,CIVIC_GRIEVANCE
thank you,THANKS
go ahead,CONFIRMATION
వీధి దీపం పనిచేయడం లేదు,CIVIC_GRIEVANCE
water pipeline is leaking near karol bagh,CIVIC_GRIEVANCE
হাই,GREETING
hello,GREETING
नमस्कार,GREETING
hello sir,GREETING
open manhole on road near karol bagh,CIVIC_GRIEVANCE
location change karo,CORRECTION
kachra 4 din se nahi uthaya gaya hai railway station road se,CIVIC_GRIEVANCE
power has been out in railway station road for 5 hours,CIVIC_GRIEVANCE
kya kar sakte ho,CAPABILITIES
what can you do,CAPABILITIES
our taps are dry since monday,CIVIC_GRIEVANCE
street light band hai karol bagh me,CIVIC_GRIEVANCE
tell me about yourself,CAPABILITIES
our taps are dry since last night,CIVIC_GRIEVANCE
transformer is sparking violently near civil lines,CIVIC_GRIEVANCE
হ্যালো,GREETING
मेरे इलाके में बिजली नहीं आ रही है,CIVIC_GRIEVANCE
আমাদের এলাকায় জল আসছে না,CIVIC_GRIEVANCE
nah,DENIAL
transformer is sparking violently near vasant kunj,CIVIC_GRIEVANCE
nali overflow kar rahi hai civil lines me,CIVIC_GRIEVANCE
power has been out in model town for 4 hours,CIVIC_GRIEVANCE
road ki condition bahut kharab hai model town me,CIVIC_GRIEVANCE
রাস্তার আলো কাজ করছে না,CIVIC_GRIEVANCE
thanks,THANKS
proceed,CONFIRMATION
వీధి దీపం పనిచేయడం లేదు,CIVIC_GRIEVANCE
yes,CONFIRMATION
hello sir there is a water pipe leaking on the road in vasant kunj,CIVIC_GRIEVANCE
i want to change the details,CORRECTION
thanks a lot,THANKS
not correct,DENIAL
help,CAPABILITIES
what can you do,CAPABILITIES
nahi,DENIAL
about,CAPABILITIES
i am fine but the pipeline outside my house in civil lines is leaking,CIVIC_GRIEVANCE
sab badhiya,CASUAL_CONVERSATION
hey assistant,GREETING
the road near saket is completely broken and damaged,CIVIC_GRIEVANCE
issue in my locality,NEEDS_CLARIFICATION
what's up,CASUAL_CONVERSATION
kya kar sakte ho,CAPABILITIES
overflowing waste bin in civil lines,CIVIC_GRIEVANCE
there is no water supply in civil lines,CIVIC_GRIEVANCE
hamare area karol bagh me paani nahi aa raha hai,CIVIC_GRIEVANCE
i am good,CASUAL_CONVERSATION
change the location,CORRECTION
आमच्या भागात पाणी येत नाही,CIVIC_GRIEVANCE
dark street near model town creating safety risk,CIVIC_GRIEVANCE
traffic signal lights not working at sector 17 intersection,CIVIC_GRIEVANCE
bijli 6 ghante se nahi hai model town me,CIVIC_GRIEVANCE
huge deep potholes on the main road in karol bagh,CIVIC_GRIEVANCE
na,DENIAL
kaise ho,CASUAL_CONVERSATION
మా ప్రాంతంలో నీరు రావడం లేదు,CIVIC_GRIEVANCE
রাস্তার আলো কাজ করছে না,CIVIC_GRIEVANCE
can you book a hotel,OUT_OF_SCOPE
there is a water problem,NEEDS_CLARIFICATION
street lights have been off for 5 nights in railway station road,CIVIC_GRIEVANCE
hello sir there is a water pipe leaking on the road in sector 17,CIVIC_GRIEVANCE
street lights have been off for 5 nights in karol bagh,CIVIC_GRIEVANCE
that is not my problem,DENIAL
hey,GREETING
namaskar,GREETING
आमच्या भागात पाणी येत नाही,CIVIC_GRIEVANCE
how is it going,CASUAL_CONVERSATION
kachra 4 din se nahi uthaya gaya hai civil lines se,CIVIC_GRIEVANCE
overflowing waste bin in model town,CIVIC_GRIEVANCE
movie tickets,OUT_OF_SCOPE
nali overflow kar rahi hai karol bagh me,CIVIC_GRIEVANCE
हमारे मोहल्ले में पानी नहीं आ रहा है,CIVIC_GRIEVANCE
location is incorrect,CORRECTION
the road near civil lines is completely broken and damaged,CIVIC_GRIEVANCE
हमारे मोहल्ले में पानी नहीं आ रहा है,CIVIC_GRIEVANCE
perfect thanks,THANKS
kya kar sakte ho,CAPABILITIES
dhanyawad,THANKS
i am fine,CASUAL_CONVERSATION
thank you,THANKS
waterlogging in saket after light rain,CIVIC_GRIEVANCE
category wrong hai,CORRECTION
info,CAPABILITIES
रस्त्यावरील दिवा चालू नाही,CIVIC_GRIEVANCE
what is your purpose,CAPABILITIES
no,DENIAL
haan,CONFIRMATION
huge deep potholes on the main road in railway station road,CIVIC_GRIEVANCE
traffic signal lights not working at sector 17 intersection,CIVIC_GRIEVANCE
hi,GREETING
location change karo,CORRECTION
overflowing waste bin in model town,CIVIC_GRIEVANCE
nevermind,DENIAL
dirty contaminated water coming from tap in model town,CIVIC_GRIEVANCE
hey assistant,GREETING
transformer is sparking violently near civil lines,CIVIC_GRIEVANCE
help,CAPABILITIES
street light band hai karol bagh me,CIVIC_GRIEVANCE
hi sir,GREETING
what are you,CAPABILITIES
i'm good,CASUAL_CONVERSATION
thanks bot,THANKS
road ki condition bahut kharab hai sector 17 me,CIVIC_GRIEVANCE
हमारे मोहल्ले में पानी नहीं आ रहा है,CIVIC_GRIEVANCE
correct,CONFIRMATION
street light band hai saket me,CIVIC_GRIEVANCE
dhanyawad,THANKS
hamare area civil lines me paani nahi aa raha hai,CIVIC_GRIEVANCE
submit it,CONFIRMATION
ha,CONFIRMATION
how is it going,CASUAL_CONVERSATION
dirty contaminated water coming from tap in civil lines,CIVIC_GRIEVANCE
what is the weather today,OUT_OF_SCOPE
रस्त्यावरील दिवा चालू नाही,CIVIC_GRIEVANCE
i am fine so the problem is that there is a road on that road there is a pipe leaking,CIVIC_GRIEVANCE
what can you do,CAPABILITIES
hey buddy,GREETING
kaise ho,CASUAL_CONVERSATION
okay,CONFIRMATION
proceed,CONFIRMATION
fogging required urgently in vasant kunj,CIVIC_GRIEVANCE
nope,DENIAL
blabla,OUT_OF_SCOPE
blabla,OUT_OF_SCOPE
fogging required urgently in sector 17,CIVIC_GRIEVANCE
what services do you offer,CAPABILITIES
हमारे मोहल्ले में पानी नहीं आ रहा है,CIVIC_GRIEVANCE
नमस्कार,GREETING
overflowing waste bin in railway station road,CIVIC_GRIEVANCE
tell me a joke,OUT_OF_SCOPE
what is the capital of france,OUT_OF_SCOPE
traffic signal lights not working at model town intersection,CIVIC_GRIEVANCE
hello sir there is a water pipe leaking on the road in civil lines,CIVIC_GRIEVANCE
who are you,CAPABILITIES
transformer is sparking violently near saket,CIVIC_GRIEVANCE
hi,GREETING
huge pile of uncollected trash dumped near civil lines,CIVIC_GRIEVANCE
testing 123,OUT_OF_SCOPE
location change karo,CORRECTION
xyz123,OUT_OF_SCOPE
transformer is sparking violently near model town,CIVIC_GRIEVANCE
bahut dhanyawad,THANKS
hello there,GREETING
how are you,CASUAL_CONVERSATION
hello there,GREETING
there is some civic issue,NEEDS_CLARIFICATION
रस्त्यावरील दिवा चालू नाही,CIVIC_GRIEVANCE
overflowing waste bin in railway station road,CIVIC_GRIEVANCE
who are you,CAPABILITIES
నమస్తే,GREETING
aap kaun ho,CAPABILITIES
i am fine so the problem is that there is a road on that road there is a pipe leaking,CIVIC_GRIEVANCE
bijli 6 ghante se nahi hai sector 17 me,CIVIC_GRIEVANCE
what is the weather today,OUT_OF_SCOPE
blabla,OUT_OF_SCOPE
आमच्या भागात पाणी येत नाही,CIVIC_GRIEVANCE
road ki condition bahut kharab hai model town me,CIVIC_GRIEVANCE
haye,GREETING
hello sir,GREETING
i am fine so the problem is that there is a road on that road there is a pipe leaking,CIVIC_GRIEVANCE
yes,CONFIRMATION
there is a problem,NEEDS_CLARIFICATION
রাস্তার আলো কাজ করছে না,CIVIC_GRIEVANCE
change priority,CORRECTION
hey buddy,GREETING
huge pile of uncollected trash dumped near saket,CIVIC_GRIEVANCE
location is incorrect,CORRECTION
power has been out in saket for 2 hours,CIVIC_GRIEVANCE
fogging required urgently in sector 17,CIVIC_GRIEVANCE
how does this work,CAPABILITIES
road problem,NEEDS_CLARIFICATION
आमच्या भागात पाणी येत नाही,CIVIC_GRIEVANCE
the road near sector 17 is completely broken and damaged,CIVIC_GRIEVANCE
dark street near model town creating safety risk,CIVIC_GRIEVANCE
no thanks,DENIAL
that is not my problem,DENIAL
our taps are dry since last night,CIVIC_GRIEVANCE
nope,DENIAL
హలో,GREETING
how are you,CASUAL_CONVERSATION
nope,DENIAL
nope,DENIAL
street lights have been off for 2 nights in saket,CIVIC_GRIEVANCE
what services do you offer,CAPABILITIES
huge deep potholes on the main road in railway station road,CIVIC_GRIEVANCE
there is a water problem,NEEDS_CLARIFICATION
ஹலோ,GREETING
problem in our area,NEEDS_CLARIFICATION
huge pile of uncollected trash dumped near karol bagh,CIVIC_GRIEVANCE
hiii,GREETING
correct,CONFIRMATION
i am fine so the problem is that there is a road on that road there is a pipe leaking,CIVIC_GRIEVANCE
